State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5001,Special Election for School Board Member (ISD #162),0162,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9001,Carolyn Karschnik,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9002,Chad Pedersen,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9003,Ramont Harder Schrock,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9004,Tom Fast,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9005,John D. Regier,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9006,Julie Brugman,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9001,Jackie Magnuson,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9002,Charles McCready,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9003,Leah Gardner,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9004,Cory Johnson,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9005,Gina Swaney,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9006,Kim Bauer,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9007,Sachin Isaacs,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9008,Teressa Schlueter,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9009,Melissa Field,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9010,Anna Williams,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9011,Lori Urkiel,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9012,Craig Angrimson,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9901,WRITE-IN,,,WI,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9001,Rowen Elsmore,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9002,Randi Walz,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9003,Morgan Steele,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9004,Tim Aune,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9005,Barbara Kessler,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9006,Byron L. Schwab,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9901,WRITE-IN,,,WI,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9001,Liz Niemioja,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9002,Darcie Pierson,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9003,Jake Klingner,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9004,Sherry Warrick,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #199) (Elect 4),0199,9901,WRITE-IN,,,WI,0,4,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #199),0199,9001,Shana Dukes,,,NP,0,4,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #199),0199,9002,Aaron Brooksby,,,NP,0,4,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #199),0199,9003,Matt Schaefer,,,NP,0,4,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #199),0199,9901,WRITE-IN,,,WI,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9001,Nancy Blanchard,,,NP,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9002,Matt Bruns,,,NP,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9003,Jenny Wiederholt-Pine,,,NP,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9004,Brandy Wentzler,,,NP,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9005,Mariah Ring,,,NP,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9006,Pamela J. Onnen,,,NP,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9007,Matt Seeger,,,NP,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9008,Melissa Millner,,,NP,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9009,Philip Biermaier,,,NP,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #200) (Elect 4),0200,9901,WRITE-IN,,,WI,0,8,0,0.00,0
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9001,Zhiming Zhao,,,NP,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9002,Brooke Ann Roper,,,NP,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9003,Shannon Andreson,,,NP,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9004,Kaj Thompson,,,NP,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #270) (Elect 4),0270,9901,WRITE-IN,,,WI,0,31,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9001,Langa Oriho,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9002,Heather Starks,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9003,Sandra Johnson,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9004,Nelly Korman,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9005,Ricardo Oliva,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9006,Mia Olson,,,NP,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #271) (Elect 3),0271,9901,WRITE-IN,,,WI,0,32,0,0.00,0
MN,,,5000,School Board Member (ISD #273) (Elect 3),0273,9001,Cheryl Barry,,,NP,0,18,0,0.00,0
MN,,,5000,School Board Member (ISD #273) (Elect 3),0273,9002,Elliot Mann,,,NP,0,18,0,0.00,0
MN,,,5000,School Board Member (ISD #273) (Elect 3),0273,9003,Jennifer Huwe,,,NP,0,18,0,0.00,0
MN,,,5000,School Board Member (ISD #273) (Elect 3),0273,9901,WRITE-IN,,,WI,0,18,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9001,Brandon L. Voges,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9002,Chris Kratoska,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9003,Sally Browne,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9004,Kemerie Foss,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9005,Karen Jordan,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9006,Michael Remucal,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9007,Dan Olson,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9901,WRITE-IN,,,WI,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9001,Heidi Marty,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9002,Brian Roath,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9003,Ralph Harrison,,,NP,0,2,0,0.00,0
