State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #129),0129,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #129),0129,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #129),0129,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #129) (Elect 2),0129,9001,Daniel Ohmacht,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #129) (Elect 2),0129,9002,Dustin Shourds,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #129) (Elect 2),0129,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9001,Aimee Perreault-Smith,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9002,Adam Cinelli,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9003,Stacey Sheffield,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9004,Matthew Meissner,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9005,Matt Perreault,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9006,Kellee Peterson,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9007,Kristin Papke,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9008,Paul Brian Sandel,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9009,Rory Roth,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #139) (Elect 3),0139,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #162),0162,9001,Amy Fontaine,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #162),0162,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #173),0173,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #173),0173,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9001,Carolyn Karschnik,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9002,Chad Pedersen,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9003,Ramont Harder Schrock,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9004,Tom Fast,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9005,John D. Regier,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9006,Julie Brugman,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #173),0173,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #182),0182,9001,YES,,,NP,1,5,64,47.41,135
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #182),0182,9002,NO,,,NP,1,5,71,52.59,135
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #186),0186,9001,YES,,,NP,1,3,109,46.19,236
